process,bin,bin_low,bin_high,yield,MCstat,syst_quadrature_Up,syst_quadrature_Down,syst_quadrature_Increase,syst_quadrature_Decrease,yield_sm,yield_cHu_at_1,yield_cHu_at_0p3,cHu_95CL_LL,cHu_95CL_UL,yield_cHu_95CL_LL,yield_cHu_95CL_UL,comb_cHu_95CL_LL,comb_cHu_95CL_UL,comb_yield_cHu_95CL_LL,comb_yield_cHu_95CL_UL,all_comb_cHu_95CL_LL,all_comb_cHu_95CL_UL,all_comb_yield_cHu_95CL_LL,all_comb_yield_cHu_95CL_UL,total_bkg,total_MCstat,total_syst_Up,total_syst_Down,total_syst_Increase,total_syst_Decrease,sm_cHu,sm_lin_quad_cHu,quad_cHu,lin_cHu,total_unc,total_unc_Down,total_unc_Up,total_unc_Decrease,total_unc_Increase,channel,subchannel
DY,1,1100.0,2000.0,443.1930925399065,5.453632454977241,0.0,0.0,0.0,0.0,34.50592868333185,186.04789081857737,48.99733927093996,-1.2120000123977661,1.1890000104904175,246.22752245260708,247.8315830183224,-0.5569999814033508,0.5450000166893005,78.00049658110902,80.5245013801497,-0.44200000166893005,0.4320000112056732,78.00049658110902,80.5245013801497,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,186.04789081857737,147.48180025221689,4.060161883028634,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
DY,2,2000.0,2500.0,8.933295916765928,0.7700998897727057,0.0,0.0,0.0,0.0,1.475338671614794,43.39536964619188,5.364531521755933,-1.1419999599456787,1.121999979019165,54.790172182231494,54.17192661772161,-0.5569999814033508,0.5450000166893005,14.000322823117413,14.064073898972662,-0.44200000166893005,0.4320000112056732,14.000322823117413,14.064073898972662,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,43.39536964619188,41.36579258205708,0.5542383925200045,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
DY,3,2500.0,3000.0,2.14450765773654,0.37965750579301,0.0,0.0,0.0,0.0,0.35299359486942017,24.46523593976191,2.569480121302796,-0.9739999771118164,0.9580000042915344,22.80301825323093,22.491229087153194,-0.5569999814033508,0.5450000166893005,7.642234569574339,7.569705433756584,-0.44200000166893005,0.4320000112056732,7.642234569574339,7.569705433756584,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,24.46523593976191,23.891362747782722,0.22087959710976868,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
DY,4,3000.0,3500.0,0.5416109599173069,0.183404084825355,0.0,0.0,0.0,0.0,0.12477900315859541,19.176942936659472,1.863101915305589,-0.902999997138977,0.890999972820282,15.466737991293563,15.260856386510037,-0.5569999814033508,0.5450000166893005,5.938114866271481,5.811649258649478,-0.44200000166893005,0.4320000112056732,5.938114866271481,5.811649258649478,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,19.176942936659472,18.93964889477747,0.11251503872340679,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
QCD,1,1100.0,2000.0,10486.996347805885,55.32642892419974,0.0,0.0,0.0,0.0,34.50592868333185,186.04789081857737,48.99733927093996,-1.2120000123977661,1.1890000104904175,246.22752245260708,247.8315830183224,-0.5569999814033508,0.5450000166893005,78.00049658110902,80.5245013801497,-0.44200000166893005,0.4320000112056732,78.00049658110902,80.5245013801497,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,186.04789081857737,147.48180025221689,4.060161883028634,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
QCD,2,2000.0,2500.0,109.90889079844273,6.189261349353989,0.0,0.0,0.0,0.0,1.475338671614794,43.39536964619188,5.364531521755933,-1.1419999599456787,1.121999979019165,54.790172182231494,54.17192661772161,-0.5569999814033508,0.5450000166893005,14.000322823117413,14.064073898972662,-0.44200000166893005,0.4320000112056732,14.000322823117413,14.064073898972662,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,43.39536964619188,41.36579258205708,0.5542383925200045,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
QCD,3,2500.0,3000.0,14.926109792461137,2.2046495787936244,0.0,0.0,0.0,0.0,0.35299359486942017,24.46523593976191,2.569480121302796,-0.9739999771118164,0.9580000042915344,22.80301825323093,22.491229087153194,-0.5569999814033508,0.5450000166893005,7.642234569574339,7.569705433756584,-0.44200000166893005,0.4320000112056732,7.642234569574339,7.569705433756584,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,24.46523593976191,23.891362747782722,0.22087959710976868,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
QCD,4,3000.0,3500.0,4.679726703210824,1.197752604994411,0.0,0.0,0.0,0.0,0.12477900315859541,19.176942936659472,1.863101915305589,-0.902999997138977,0.890999972820282,15.466737991293563,15.260856386510037,-0.5569999814033508,0.5450000166893005,5.938114866271481,5.811649258649478,-0.44200000166893005,0.4320000112056732,5.938114866271481,5.811649258649478,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,19.176942936659472,18.93964889477747,0.11251503872340679,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
TTbar,1,1100.0,2000.0,2405.548857793212,16.446954564075774,0.0,0.0,0.0,0.0,34.50592868333185,186.04789081857737,48.99733927093996,-1.2120000123977661,1.1890000104904175,246.22752245260708,247.8315830183224,-0.5569999814033508,0.5450000166893005,78.00049658110902,80.5245013801497,-0.44200000166893005,0.4320000112056732,78.00049658110902,80.5245013801497,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,186.04789081857737,147.48180025221689,4.060161883028634,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
TTbar,2,2000.0,2500.0,36.168331917375326,2.0751734249051683,0.0,0.0,0.0,0.0,1.475338671614794,43.39536964619188,5.364531521755933,-1.1419999599456787,1.121999979019165,54.790172182231494,54.17192661772161,-0.5569999814033508,0.5450000166893005,14.000322823117413,14.064073898972662,-0.44200000166893005,0.4320000112056732,14.000322823117413,14.064073898972662,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,43.39536964619188,41.36579258205708,0.5542383925200045,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
TTbar,3,2500.0,3000.0,5.822826702147722,0.7932122228369982,0.0,0.0,0.0,0.0,0.35299359486942017,24.46523593976191,2.569480121302796,-0.9739999771118164,0.9580000042915344,22.80301825323093,22.491229087153194,-0.5569999814033508,0.5450000166893005,7.642234569574339,7.569705433756584,-0.44200000166893005,0.4320000112056732,7.642234569574339,7.569705433756584,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,24.46523593976191,23.891362747782722,0.22087959710976868,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
TTbar,4,3000.0,3500.0,1.3927788622677326,0.3782020039470605,0.0,0.0,0.0,0.0,0.12477900315859541,19.176942936659472,1.863101915305589,-0.902999997138977,0.890999972820282,15.466737991293563,15.260856386510037,-0.5569999814033508,0.5450000166893005,5.938114866271481,5.811649258649478,-0.44200000166893005,0.4320000112056732,5.938114866271481,5.811649258649478,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,19.176942936659472,18.93964889477747,0.11251503872340679,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
WJets,1,1100.0,2000.0,1377.3680602400855,11.487063777598474,0.0,0.0,0.0,0.0,34.50592868333185,186.04789081857737,48.99733927093996,-1.2120000123977661,1.1890000104904175,246.22752245260708,247.8315830183224,-0.5569999814033508,0.5450000166893005,78.00049658110902,80.5245013801497,-0.44200000166893005,0.4320000112056732,78.00049658110902,80.5245013801497,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,186.04789081857737,147.48180025221689,4.060161883028634,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
WJets,2,2000.0,2500.0,27.586104618152604,1.6326704450275293,0.0,0.0,0.0,0.0,1.475338671614794,43.39536964619188,5.364531521755933,-1.1419999599456787,1.121999979019165,54.790172182231494,54.17192661772161,-0.5569999814033508,0.5450000166893005,14.000322823117413,14.064073898972662,-0.44200000166893005,0.4320000112056732,14.000322823117413,14.064073898972662,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,43.39536964619188,41.36579258205708,0.5542383925200045,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
WJets,3,2500.0,3000.0,4.344207974485471,0.6476899967839551,0.0,0.0,0.0,0.0,0.35299359486942017,24.46523593976191,2.569480121302796,-0.9739999771118164,0.9580000042915344,22.80301825323093,22.491229087153194,-0.5569999814033508,0.5450000166893005,7.642234569574339,7.569705433756584,-0.44200000166893005,0.4320000112056732,7.642234569574339,7.569705433756584,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,24.46523593976191,23.891362747782722,0.22087959710976868,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
WJets,4,3000.0,3500.0,1.0306387416349025,0.3118642947060499,0.0,0.0,0.0,0.0,0.12477900315859541,19.176942936659472,1.863101915305589,-0.902999997138977,0.890999972820282,15.466737991293563,15.260856386510037,-0.5569999814033508,0.5450000166893005,5.938114866271481,5.811649258649478,-0.44200000166893005,0.4320000112056732,5.938114866271481,5.811649258649478,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,19.176942936659472,18.93964889477747,0.11251503872340679,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
WW,1,1100.0,2000.0,405.1505524814129,9.662213621472555,0.0,0.0,0.0,0.0,34.50592868333185,186.04789081857737,48.99733927093996,-1.2120000123977661,1.1890000104904175,246.22752245260708,247.8315830183224,-0.5569999814033508,0.5450000166893005,78.00049658110902,80.5245013801497,-0.44200000166893005,0.4320000112056732,78.00049658110902,80.5245013801497,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,186.04789081857737,147.48180025221689,4.060161883028634,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
WW,2,2000.0,2500.0,12.557186089456081,1.685212365271094,0.0,0.0,0.0,0.0,1.475338671614794,43.39536964619188,5.364531521755933,-1.1419999599456787,1.121999979019165,54.790172182231494,54.17192661772161,-0.5569999814033508,0.5450000166893005,14.000322823117413,14.064073898972662,-0.44200000166893005,0.4320000112056732,14.000322823117413,14.064073898972662,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,43.39536964619188,41.36579258205708,0.5542383925200045,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
WW,3,2500.0,3000.0,3.1176525950431824,0.8828864357622053,0.0,0.0,0.0,0.0,0.35299359486942017,24.46523593976191,2.569480121302796,-0.9739999771118164,0.9580000042915344,22.80301825323093,22.491229087153194,-0.5569999814033508,0.5450000166893005,7.642234569574339,7.569705433756584,-0.44200000166893005,0.4320000112056732,7.642234569574339,7.569705433756584,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,24.46523593976191,23.891362747782722,0.22087959710976868,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
WW,4,3000.0,3500.0,0.9266377240419388,0.4931862560486241,0.0,0.0,0.0,0.0,0.12477900315859541,19.176942936659472,1.863101915305589,-0.902999997138977,0.890999972820282,15.466737991293563,15.260856386510037,-0.5569999814033508,0.5450000166893005,5.938114866271481,5.811649258649478,-0.44200000166893005,0.4320000112056732,5.938114866271481,5.811649258649478,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,19.176942936659472,18.93964889477747,0.11251503872340679,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
WZ,1,1100.0,2000.0,102.17559579014778,3.878140427000984,0.0,0.0,0.0,0.0,34.50592868333185,186.04789081857737,48.99733927093996,-1.2120000123977661,1.1890000104904175,246.22752245260708,247.8315830183224,-0.5569999814033508,0.5450000166893005,78.00049658110902,80.5245013801497,-0.44200000166893005,0.4320000112056732,78.00049658110902,80.5245013801497,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,186.04789081857737,147.48180025221689,4.060161883028634,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
WZ,2,2000.0,2500.0,3.415310353040695,0.6665928769264714,0.0,0.0,0.0,0.0,1.475338671614794,43.39536964619188,5.364531521755933,-1.1419999599456787,1.121999979019165,54.790172182231494,54.17192661772161,-0.5569999814033508,0.5450000166893005,14.000322823117413,14.064073898972662,-0.44200000166893005,0.4320000112056732,14.000322823117413,14.064073898972662,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,43.39536964619188,41.36579258205708,0.5542383925200045,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
WZ,3,2500.0,3000.0,1.3098052777349949,0.4650351233339387,0.0,0.0,0.0,0.0,0.35299359486942017,24.46523593976191,2.569480121302796,-0.9739999771118164,0.9580000042915344,22.80301825323093,22.491229087153194,-0.5569999814033508,0.5450000166893005,7.642234569574339,7.569705433756584,-0.44200000166893005,0.4320000112056732,7.642234569574339,7.569705433756584,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,24.46523593976191,23.891362747782722,0.22087959710976868,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
WZ,4,3000.0,3500.0,0.2902390658855438,0.20523001165291718,0.0,0.0,0.0,0.0,0.12477900315859541,19.176942936659472,1.863101915305589,-0.902999997138977,0.890999972820282,15.466737991293563,15.260856386510037,-0.5569999814033508,0.5450000166893005,5.938114866271481,5.811649258649478,-0.44200000166893005,0.4320000112056732,5.938114866271481,5.811649258649478,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,19.176942936659472,18.93964889477747,0.11251503872340679,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
ZZ,1,1100.0,2000.0,41.649358920753,4.294930448995165,0.0,0.0,0.0,0.0,34.50592868333185,186.04789081857737,48.99733927093996,-1.2120000123977661,1.1890000104904175,246.22752245260708,247.8315830183224,-0.5569999814033508,0.5450000166893005,78.00049658110902,80.5245013801497,-0.44200000166893005,0.4320000112056732,78.00049658110902,80.5245013801497,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,186.04789081857737,147.48180025221689,4.060161883028634,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
ZZ,2,2000.0,2500.0,0.8726599365472794,0.7977463253252466,0.0,0.0,0.0,0.0,1.475338671614794,43.39536964619188,5.364531521755933,-1.1419999599456787,1.121999979019165,54.790172182231494,54.17192661772161,-0.5569999814033508,0.5450000166893005,14.000322823117413,14.064073898972662,-0.44200000166893005,0.4320000112056732,14.000322823117413,14.064073898972662,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,43.39536964619188,41.36579258205708,0.5542383925200045,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
ZZ,3,2500.0,3000.0,0.24201802164316177,0.3619627147580751,0.0,0.0,0.0,0.0,0.35299359486942017,24.46523593976191,2.569480121302796,-0.9739999771118164,0.9580000042915344,22.80301825323093,22.491229087153194,-0.5569999814033508,0.5450000166893005,7.642234569574339,7.569705433756584,-0.44200000166893005,0.4320000112056732,7.642234569574339,7.569705433756584,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,24.46523593976191,23.891362747782722,0.22087959710976868,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
ZZ,4,3000.0,3500.0,0.6363779306411743,0.32309480335745283,0.0,0.0,0.0,0.0,0.12477900315859541,19.176942936659472,1.863101915305589,-0.902999997138977,0.890999972820282,15.466737991293563,15.260856386510037,-0.5569999814033508,0.5450000166893005,5.938114866271481,5.811649258649478,-0.44200000166893005,0.4320000112056732,5.938114866271481,5.811649258649478,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,19.176942936659472,18.93964889477747,0.11251503872340679,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
ttV,1,1100.0,2000.0,647.7339086846914,12.817594324412774,0.0,0.0,0.0,0.0,34.50592868333185,186.04789081857737,48.99733927093996,-1.2120000123977661,1.1890000104904175,246.22752245260708,247.8315830183224,-0.5569999814033508,0.5450000166893005,78.00049658110902,80.5245013801497,-0.44200000166893005,0.4320000112056732,78.00049658110902,80.5245013801497,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,186.04789081857737,147.48180025221689,4.060161883028634,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
ttV,2,2000.0,2500.0,22.16453070472926,2.464975181554063,0.0,0.0,0.0,0.0,1.475338671614794,43.39536964619188,5.364531521755933,-1.1419999599456787,1.121999979019165,54.790172182231494,54.17192661772161,-0.5569999814033508,0.5450000166893005,14.000322823117413,14.064073898972662,-0.44200000166893005,0.4320000112056732,14.000322823117413,14.064073898972662,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,43.39536964619188,41.36579258205708,0.5542383925200045,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
ttV,3,2500.0,3000.0,4.144776146742515,1.0512916435193844,0.0,0.0,0.0,0.0,0.35299359486942017,24.46523593976191,2.569480121302796,-0.9739999771118164,0.9580000042915344,22.80301825323093,22.491229087153194,-0.5569999814033508,0.5450000166893005,7.642234569574339,7.569705433756584,-0.44200000166893005,0.4320000112056732,7.642234569574339,7.569705433756584,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,24.46523593976191,23.891362747782722,0.22087959710976868,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
ttV,4,3000.0,3500.0,1.0332567159784958,0.4997567314156581,0.0,0.0,0.0,0.0,0.12477900315859541,19.176942936659472,1.863101915305589,-0.902999997138977,0.890999972820282,15.466737991293563,15.260856386510037,-0.5569999814033508,0.5450000166893005,5.938114866271481,5.811649258649478,-0.44200000166893005,0.4320000112056732,5.938114866271481,5.811649258649478,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,19.176942936659472,18.93964889477747,0.11251503872340679,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
sm,1,1100.0,2000.0,34.50592868333185,0.0,0.0,0.0,0.0,0.0,34.50592868333185,186.04789081857737,48.99733927093996,-1.2120000123977661,1.1890000104904175,246.22752245260708,247.8315830183224,-0.5569999814033508,0.5450000166893005,78.00049658110902,80.5245013801497,-0.44200000166893005,0.4320000112056732,78.00049658110902,80.5245013801497,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,186.04789081857737,147.48180025221689,4.060161883028634,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
sm,2,2000.0,2500.0,1.475338671614794,0.0,0.0,0.0,0.0,0.0,1.475338671614794,43.39536964619188,5.364531521755933,-1.1419999599456787,1.121999979019165,54.790172182231494,54.17192661772161,-0.5569999814033508,0.5450000166893005,14.000322823117413,14.064073898972662,-0.44200000166893005,0.4320000112056732,14.000322823117413,14.064073898972662,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,43.39536964619188,41.36579258205708,0.5542383925200045,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
sm,3,2500.0,3000.0,0.35299359486942017,0.0,0.0,0.0,0.0,0.0,0.35299359486942017,24.46523593976191,2.569480121302796,-0.9739999771118164,0.9580000042915344,22.80301825323093,22.491229087153194,-0.5569999814033508,0.5450000166893005,7.642234569574339,7.569705433756584,-0.44200000166893005,0.4320000112056732,7.642234569574339,7.569705433756584,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,24.46523593976191,23.891362747782722,0.22087959710976868,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
sm,4,3000.0,3500.0,0.12477900315859541,0.0,0.0,0.0,0.0,0.0,0.12477900315859541,19.176942936659472,1.863101915305589,-0.902999997138977,0.890999972820282,15.466737991293563,15.260856386510037,-0.5569999814033508,0.5450000166893005,5.938114866271481,5.811649258649478,-0.44200000166893005,0.4320000112056732,5.938114866271481,5.811649258649478,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,19.176942936659472,18.93964889477747,0.11251503872340679,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
DY,1,1250.0,1500.0,8.320661306381226,0.7351518213830418,0.0,0.0,0.0,0.0,2.524089589589385,10.444139119007955,3.289811345508419,-2.447000026702881,2.4140000343322754,47.82237108662749,47.81722393942316,-0.6200000047683716,0.6110000014305115,5.315460794817998,5.540702463897013,-0.44200000166893005,0.4320000112056732,5.315460794817998,5.540702463897013,382.1417333979535,11.369101877199862,0.0,0.0,0.0,0.0,2.524089589589385,10.444139119007955,7.668062394793034,0.2519871346255367,11.369101877199862,11.369101877199862,11.369101877199862,11.369101877199862,11.369101877199862,0Lepton_3FJ,
DY,2,1500.0,1750.0,3.3459248691797256,0.476219655426643,0.0,0.0,0.0,0.0,1.1155598526547676,9.477098191121215,1.9080873819021829,-1.8009999990463257,1.777999997138977,27.27643990843139,27.285346405861016,-0.6200000047683716,0.6110000014305115,4.138473186262068,4.282357551059147,-0.44200000166893005,0.4320000112056732,4.138473186262068,4.282357551059147,126.22721328240954,6.2251877584937185,0.0,0.0,0.0,0.0,1.1155598526547676,9.477098191121215,8.1711141537739,0.1904241846925474,6.2251877584937185,6.2251877584937185,6.2251877584937185,6.2251877584937185,6.2251877584937185,0Lepton_3FJ,
DY,3,1750.0,2000.0,1.3090158626437187,0.2979331948577186,0.0,0.0,0.0,0.0,0.5322217069345606,7.762345782043239,1.210055177569691,-1.4550000429153442,1.437000036239624,15.377235305911341,15.381099932251802,-0.6200000047683716,0.6110000014305115,3.1817593379560063,3.262076022056012,-0.44200000166893005,0.4320000112056732,3.1817593379560063,3.262076022056012,38.43842536679975,3.3468417166640694,0.0,0.0,0.0,0.0,0.5322217069345606,7.762345782043239,7.100970247130824,0.12915382797785468,3.3468417166640694,3.3468417166640694,3.3468417166640694,3.3468417166640694,3.3468417166640694,0Lepton_3FJ,
DY,4,2000.0,2250.0,0.7574682086706161,0.22251609053398394,0.0,0.0,0.0,0.0,0.3615255781015967,7.129984822199737,0.9911909494987641,-1.215999960899353,1.2009999752044678,10.10664623451936,10.100787581367893,-0.6200000047683716,0.6110000014305115,2.865253459073213,2.9115401328316657,-0.44200000166893005,0.4320000112056732,2.865253459073213,2.9115401328316657,15.03900728565123,2.1245039294522594,0.0,0.0,0.0,0.0,0.3615255781015967,7.129984822199737,6.67082096110607,0.09763828299207011,2.1245039294522594,2.1245039294522594,2.1245039294522594,2.1245039294522594,2.1245039294522594,0Lepton_3FJ,
